"Outcome","Matching","Matching_min_Gamma_accept","Proposed","Proposed_min_Gamma_accept"
"cesd","0.0453 (R)","1.10","0.0886 (A)","NA"
"depressed","0.0004 (R)","1.50","0.0009 (R)","1.40"
"inter_personal","0.1047 (A)","NA","0.1985 (A)","NA"
"low_positive","0.1675 (A)","NA","0.3069 (A)","NA"
"somatic","0.2159 (A)","NA","0.2197 (A)","NA"
"pwb","0.5688 (A)","NA","0.8141 (A)","NA"
"autonomy","0.9225 (A)","NA","0.9940 (A)","NA"
"environmental_mastery","0.6864 (A)","NA","0.8111 (A)","NA"
"positive_relation","0.1219 (A)","NA","0.2289 (A)","NA"
"purpose_in_life","0.1658 (A)","NA","0.2634 (A)","NA"
"self_acceptance","0.3206 (A)","NA","0.5384 (A)","NA"
"alcohol_dep","0.0000 (R)","2.50","0.0000 (R)","2.50"
"drinking_days","0.3880 (A)","NA","0.3172 (A)","NA"
"regular_at_risk","0.8803 (A)","NA","0.2464 (A)","NA"
"SF_12","0.0414 (R)","1.10","0.0811 (A)","NA"
"smoking","0.6994 (A)","NA","0.7107 (A)","NA"
"income_to_poverty_level","0.9528 (A)","NA","0.9891 (A)","NA"
